time, Quad.GPS.X
0.105000,0.929724
0.205000,-0.850974
0.305000,-0.294908
0.404998,0.645229
0.504997,-0.905355
0.604996,-0.284823
0.704994,0.275048
0.804993,0.895052
0.904992,-0.066701
1.004991,-0.078243
1.104996,0.694033
1.205000,-0.048346
1.305005,0.607266
1.405010,-0.699705
1.505014,0.151097
1.605019,0.018033
1.705024,0.292672
1.805028,-0.729594
1.905033,-0.011264
2.005037,0.544650
2.105030,-0.793588
2.205023,-0.124175
2.305015,1.235628
2.405008,-0.553884
2.505001,-0.173307
2.604994,0.654572
2.704986,-0.093790
2.804979,0.320851
2.904972,-0.336381
3.004965,0.796451
3.104957,-0.426222
3.204950,-0.207167
3.304943,-1.281128
3.404936,0.301691
3.504928,-1.102327
3.604921,-0.814930
3.704914,-0.315414
3.804907,0.773324
3.904899,-0.124427
4.004892,-0.277089
4.104885,-0.704610
4.204878,-0.603793
4.304871,0.683835
4.404863,0.324453
4.504856,0.753600
4.604849,-0.654491
4.704842,-0.445011
4.804834,1.084888
4.904827,0.235449
5.004820,0.300722
5.104813,0.434042
5.204805,-0.478131
5.304798,-1.190773
5.404791,1.511804
