time, Quad.GPS.X
0.105000,0.929724
0.205000,-0.850974
0.305000,-0.294908
0.404998,0.645229
0.504997,-0.905355
0.604996,-0.284823
0.704994,0.275048
0.804993,0.895052
0.904992,-0.066701
1.004991,-0.078243
1.104996,0.694033
1.205000,-0.048346
1.305005,0.607266
1.405010,-0.699705
1.505014,0.151097
1.605019,0.018033
1.705024,0.292672
1.805028,-0.729594
1.905033,-0.011264
2.005037,0.544650
2.105030,-0.793588
2.205023,-0.124175
2.305015,1.235628
2.405008,-0.553884
2.505001,-0.173307
2.604994,0.654572
2.704986,-0.093790
2.804979,0.320851
2.904972,-0.336381
3.004965,0.796451
3.104957,-0.426222
3.204950,-0.207167
3.304943,-1.281128
3.404936,0.301691
3.504928,-1.102327
3.604921,-0.814930
3.704914,-0.315414
3.804907,0.773324
3.904899,-0.124427
4.004892,-0.277089
4.104885,-0.704610
4.204878,-0.603793
4.304871,0.683835
4.404863,0.324453
4.504856,0.753600
4.604849,-0.654491
4.704842,-0.445011
4.804834,1.084888
4.904827,0.235449
5.004820,0.300722
5.104813,0.434042
5.204805,-0.478131
5.304798,-1.190773
5.404791,1.511804
5.504784,-0.935714
5.604776,0.524357
5.704769,-0.829639
5.804762,0.894894
5.904755,0.965156
6.004747,0.311936
6.104740,-0.537435
6.204733,0.567215
6.304726,0.376700
6.404718,1.460379
6.504711,-1.057071
6.604704,1.148678
6.704697,-0.201734
6.804689,-0.872112
6.904682,1.044504
7.004675,0.244492
7.104668,0.191916
7.204660,0.202381
7.304653,-0.435639
7.404646,-0.622646
7.504639,-0.066355
7.604631,0.665711
7.704624,-0.437999
7.804617,0.321016
7.904610,0.140746
8.004604,1.233438
8.104645,-0.167740
8.204685,-2.065397
8.304726,-0.608318
8.404766,-1.550676
8.504807,0.768149
8.604847,0.344120
8.704887,-0.403074
8.804928,-0.686349
8.904968,-0.477883
9.005009,-0.699550
9.105049,1.402819
